n_vectors,n_queries,dim,k,ef,algo,variant,search_time_ns,returncode,command,stderr
16000,200,16,10,50,hnsw,simd,3954834,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
32000,200,16,10,50,flat,scalar,43776667,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
32000,200,16,10,50,flat,simd,26782833,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
32000,200,16,10,50,hnsw,scalar,4920625,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
32000,200,16,10,50,hnsw,simd,5329875,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
64000,200,16,10,50,flat,scalar,82922750,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
64000,200,16,10,50,flat,simd,49334709,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search_simd --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
64000,200,16,10,50,hnsw,scalar,4827292,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
64000,200,16,10,50,hnsw,simd,4090542,0,/home/cs1952y-user/gem5/final-project/binaries/host/hnsw_search_simd --hnsw /home/cs1952y-user/gem5/final-project/out/H1_run/data/hnsw.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10 --ef 50,
128000,200,16,10,50,flat,scalar,168093500,0,/home/cs1952y-user/gem5/final-project/binaries/host/flat_search --vectors /home/cs1952y-user/gem5/final-project/out/H1_run/data/vectors.bin --queries /home/cs1952y-user/gem5/final-project/out/H1_run/data/queries.bin --k 10,
