
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000653                       # Number of seconds simulated (Second)
simTicks                                    653016000                       # Number of ticks simulated (Tick)
finalTick                                   653016000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     57.56                       # Real time elapsed on the host (Second)
hostTickRate                                 11344943                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4350416                       # Number of bytes of host memory used (Byte)
simInsts                                       323553                       # Number of instructions simulated (Count)
simOps                                         323553                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     5621                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       5621                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           653017                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.018269                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.495474                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          350298                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       21                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         347745                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     34                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                26765                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             16131                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              621073                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.559910                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.184688                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    468013     75.36%     75.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     64784     10.43%     85.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     30045      4.84%     90.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     16903      2.72%     93.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     37153      5.98%     99.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      1915      0.31%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      1946      0.31%     99.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       213      0.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       101      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                621073                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      20      0.94%      0.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1143     53.86%     54.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     54.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     54.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     54.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     54.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     54.81% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     54.81% # attempts to use FU when none available (Count)
